id,short_name,long_name,age,height_cm,weight_kg,nationality,club,preferred_foot,player_positions,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,overall,potential
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,179,69,Portugal,Sporting CP,Right,"CAM, CM",77,83,87,85,65,74,,,,,,,85,88
199482,A. Lopes,Anthony Lopes,28,184,81,Portugal,Olympique Lyonnais,Left,GK,,,,,,,87,80,75,89,64,84,85,87
185122,P. Gulácsi,Péter Gulácsi,29,192,86,Hungary,RB Leipzig,Right,GK,,,,,,,84,86,81,86,43,84,85,86
189117,R. Bürki,Roman Bürki,28,187,85,Switzerland,Borussia Dortmund,Right,GK,,,,,,,86,80,74,89,50,83,85,86
192505,R. Lukaku,Romelu Lukaku,26,190,94,Belgium,Inter,Left,ST,75,82,73,72,35,84,,,,,,,85,86
192774,K. Manolas,Kostas Manolas,28,189,83,Greece,Napoli,Right,CB,82,25,42,60,86,81,,,,,,,85,86
194404,Neto,Norberto Murara Neto,29,190,84,Brazil,FC Barcelona,Right,GK,,,,,,,86,81,79,82,54,82,85,86
197445,D. Alaba,David Olatukunbo Alaba,27,180,78,Austria,FC Bayern München,Left,"LB, CB",83,73,81,80,80,76,,,,,,,85,86
201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,181,75,Argentina,Inter,Right,ST,75,84,61,77,36,69,,,,,,,85,86
204963,Carvajal,Daniel Carvajal Ramos,27,173,73,Spain,Real Madrid,Right,RB,81,47,78,81,82,80,,,,,,,85,86
208670,H. Ziyech,Hakim Ziyech,26,181,65,Morocco,Ajax,Left,"CAM, RW",80,75,86,83,50,66,,,,,,,85,86
41236,Z. Ibrahimović,Zlatan Ibrahimović,37,195,95,Sweden,LA Galaxy,Right,ST,56,88,77,77,34,78,,,,,,,85,85
143076,A. Gómez,Alejandro Darío Gómez,31,165,68,Argentina,Atalanta,Right,"CAM, CF, ST",89,78,81,86,39,55,,,,,,,85,85
167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,186,89,Argentina,Juventus,Right,ST,63,85,71,80,31,71,,,,,,,85,85
170890,B. Matuidi,Blaise Matuidi,32,180,75,France,Juventus,Left,"CDM, CM",75,66,76,78,83,81,,,,,,,85,85
173731,G. Bale,Gareth Frank Bale,29,185,82,Wales,Real Madrid,Left,"RW, LW, ST",91,87,82,82,58,76,,,,,,,85,85
176676,Marcelo,Marcelo Vieira da Silva Júnior,31,174,75,Brazil,Real Madrid,Left,LB,81,74,83,89,77,79,,,,,,,85,85
177413,A. Witsel,Axel  Witsel,30,186,81,Belgium,Borussia Dortmund,Right,"CDM, CM",73,74,80,79,83,81,,,,,,,85,85
191043,Alex Sandro,Alex Sandro Lobo Silva,28,180,80,Brazil,Juventus,Left,"LB, LM",83,65,77,80,82,82,,,,,,,85,85
192629,Iago Aspas,Iago Aspas Juncal,31,176,67,Spain,RC Celta,Left,"ST, RW",78,84,77,85,35,64,,,,,,,85,85
193747,Koke,Jorge Resurrección Merodio,27,176,74,Spain,Atlético Madrid,Right,"RM, LM, CM",68,75,86,82,74,79,,,,,,,85,85
198710,J. Rodríguez,James David Rodríguez Rubio,27,180,75,Colombia,Real Madrid,Left,"CAM, CM, RM",55,86,87,86,50,63,,,,,,,85,85
199914,Allan,Allan Marques Loureiro,28,175,74,Brazil,Napoli,Right,CM,75,71,78,84,85,84,,,,,,,85,85
233049,J. Sancho,Jadon Sancho,19,180,76,England,Borussia Dortmund,Right,"RM, LM",88,72,77,90,36,60,,,,,,,84,92
235790,K. Havertz,Kai Havertz,20,188,83,Germany,Bayer 04 Leverkusen,Left,"CAM, RM",84,78,79,84,44,65,,,,,,,84,92
231443,O. Dembélé,Ousmane Dembélé,22,178,67,France,FC Barcelona,Left,"RW, LW",93,79,80,87,36,57,,,,,,,84,90
206585,Kepa,Kepa Arrizabalaga,24,186,85,Spain,Chelsea,Right,GK,,,,,,,84,82,86,85,33,80,84,89
210514,João Cancelo,João Pedro Cavaco Cancelo,25,182,74,Portugal,Manchester City,Right,RB,90,65,80,84,78,71,,,,,,,84,89
211117,D. Alli,Bamidele Alli,23,188,80,England,Tottenham Hotspur,Right,"CAM, CM",72,81,79,82,71,79,,,,,,,84,89
220814,L. Hernández,Lucas Hernández,23,182,76,France,FC Bayern München,Left,"CB, LB",81,54,70,71,83,82,,,,,,,84,89
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,22,171,73,Brazil,FC Barcelona,Right,CM,69,71,81,86,73,70,,,,,,,84,89
202556,M. Depay,Memphis Depay,25,176,78,Netherlands,Olympique Lyonnais,Right,"CF, LW, CAM",87,80,81,84,32,78,,,,,,,84,88
209658,L. Goretzka,Leon Goretzka,24,189,79,Germany,FC Bayern München,Right,"CM, CAM, CDM",81,77,80,81,75,79,,,,,,,84,88
212194,J. Brandt,Julian Brandt,23,185,83,Germany,Borussia Dortmund,Right,"CAM, LM, RM",82,78,81,85,40,68,,,,,,,84,88
213345,K. Coman,Kingsley Coman,23,179,75,France,FC Bayern München,Right,"LM, RM, LW",92,76,77,87,29,60,,,,,,,84,88
206113,S. Gnabry,Serge Gnabry,23,175,75,Germany,FC Bayern München,Right,"RM, LM, LW",90,82,75,86,43,69,,,,,,,84,87
216594,N. Fekir,Nabil Fekir,25,173,75,France,Real Betis,Left,CAM,78,82,81,88,33,77,,,,,,,84,87
192563,B. Leno,Bernd Leno,27,190,83,Germany,Arsenal,Right,GK,,,,,,,83,81,78,85,56,84,84,86
198706,Luis Alberto,Luis Alberto Romero Alconchel,26,183,74,Spain,Lazio,Right,"CAM, CM, CF",71,76,84,85,49,59,,,,,,,84,86
212462,Alex Telles,Alex Nicolao Telles,26,181,71,Brazil,FC Porto,Left,LB,85,72,84,81,80,76,,,,,,,84,86
236583,J. Pavlenka,Jiří Pavlenka,27,196,81,Czech Republic,SV Werder Bremen,Right,GK,,,,,,,86,79,70,88,36,80,84,86
198176,S. de Vrij,Stefan de Vrij,27,189,78,Netherlands,Inter,Right,CB,66,41,62,68,86,74,,,,,,,84,85
201995,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,175,70,Brazil,West Ham United,Right,LM,89,77,79,89,55,61,,,,,,,84,85
120533,Pepe,Képler Laveran Lima Ferreira,36,188,81,Portugal,FC Porto,Right,CB,67,51,57,60,85,85,,,,,,,84,84
162347,João Moutinho,João Filipe Iria Santos Moutinho,32,170,61,Portugal,Wolverhampton Wanderers,Right,CM,56,75,85,82,71,67,,,,,,,84,84
167628,S. Ruffier,Stéphane Ruffier,32,188,93,France,AS Saint-Étienne,Right,GK,,,,,,,82,84,75,82,48,85,84,84
168435,S. Sirigu,Salvatore Sirigu,32,192,80,Italy,Torino,Right,GK,,,,,,,84,80,76,82,51,84,84,84
171877,M. Hamšík,Marek Hamšík,31,183,73,Slovakia,Dalian YiFang FC,Right,CM,69,77,83,83,72,69,,,,,,,84,84
172879,Sokratis,Sokratis Papastathopoulos,31,186,85,Greece,Arsenal,Right,CB,72,51,52,60,84,83,,,,,,,84,84
176266,Lucas Leiva,Lucas  Pezzini Leiva,32,179,78,Brazil,Lazio,Right,CDM,62,66,76,78,83,73,,,,,,,84,84
176635,M. Özil,Mesut Özil,30,180,76,Germany,Arsenal,Left,"CAM, RW",70,72,86,84,24,56,,,,,,,84,84
177610,Javi Martínez,Javier Martínez Aginaga,30,192,86,Spain,FC Bayern München,Right,"CDM, CB",48,55,69,63,86,83,,,,,,,84,84
177683,Y. Sommer,Yann Sommer,30,183,79,Switzerland,Borussia Mönchengladbach,Right,GK,,,,,,,79,85,81,87,51,80,84,84
180930,E. Džeko,Edin Džeko,33,193,80,Bosnia Herzegovina,Roma,Right,ST,60,84,71,75,46,73,,,,,,,84,84
181291,G. Wijnaldum,Georginio Wijnaldum,28,175,69,Netherlands,Liverpool,Right,"CM, CDM",77,73,78,84,76,78,,,,,,,84,84
181458,I. Perišić,Ivan Perišić,30,186,80,Croatia,FC Bayern München,Right,LM,84,80,78,82,62,77,,,,,,,84,84
181783,M. Mandžukić,Mario Mandžukić,33,190,85,Croatia,Juventus,Right,"ST, LW",68,80,71,75,65,86,,,,,,,84,84
181872,A. Vidal,Arturo Vidal,32,180,75,Chile,FC Barcelona,Right,"CM, CDM",67,79,80,78,85,86,,,,,,,84,84
183907,J. Boateng,Jérôme Boateng,30,192,90,Germany,FC Bayern München,Right,CB,66,50,72,65,84,82,,,,,,,84,84
184432,Azpilicueta,César Azpilicueta Tanco,29,178,76,Spain,Chelsea,Right,"RB, CB",70,55,77,73,85,76,,,,,,,84,84
185020,José Callejón,José María Callejón Bueno,32,178,73,Spain,Napoli,Right,"RM, RW",89,78,75,83,47,64,,,,,,,84,84
186942,I. Gündoğan,İlkay Gündoğan,28,180,80,Germany,Manchester City,Right,"CM, CDM",66,74,84,84,72,71,,,,,,,84,84
187961,Paulinho,José Paulo Bezzera Maciel Júnior,30,183,80,Brazil,Guangzhou Evergrande Taobao FC,Right,"CM, CAM, CDM",72,81,77,80,78,85,,,,,,,84,84
188377,K. Walker,Kyle Walker,29,183,70,England,Manchester City,Right,RB,91,63,76,77,81,81,,,,,,,84,84
190286,Canales,Sergio Canales Madrazo,28,176,65,Spain,Real Betis,Left,"CAM, CM, CF",78,79,83,81,51,66,,,,,,,84,84
190483,Douglas Costa,Douglas Costa de Souza,28,172,70,Brazil,Juventus,Left,"LM, RW, LW",94,73,79,91,43,61,,,,,,,84,84
197965,Pizzi,Luís Miguel Afonso Fernandes,29,177,72,Portugal,SL Benfica,Right,"RM, CM",77,77,84,81,63,68,,,,,,,84,84
199434,D. Tadić,Dušan Tadić,30,181,76,Serbia,Ajax,Left,"CAM, LW, ST",68,80,84,85,41,71,,,,,,,84,84
200647,J. Iličić,Josip Iličić,31,190,79,Slovenia,Atalanta,Left,"CF, ST",70,84,84,85,43,67,,,,,,,84,84
204485,R. Mahrez,Riyad Mahrez,28,179,67,Algeria,Manchester City,Left,"RW, RM",84,78,79,89,38,59,,,,,,,84,84
205678,E. Višća,Edin Višća,29,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,Right,"RM, RW",88,79,79,83,47,64,,,,,,,84,84
207863,Felipe,Felipe Augusto de Almeida Monteiro,30,190,83,Brazil,Atlético Madrid,Right,CB,64,41,57,60,84,87,,,,,,,84,84
226271,Fabián,Fabián Ruiz Peña,23,189,70,Spain,Napoli,Left,"CM, CDM, CAM",65,78,78,83,74,69,,,,,,,83,90
210413,A. Romagnoli,Alessio Romagnoli,24,188,78,Italy,Milan,Left,CB,63,40,55,66,85,79,,,,,,,83,89
226226,G. Lo Celso,Giovani Lo Celso,23,177,68,Argentina,Tottenham Hotspur,Left,"CM, CAM, CF",77,78,82,85,65,72,,,,,,,83,89
231281,T. Alexander-Arnold,Trent Alexander-Arnold,20,180,69,England,Liverpool,Right,RB,80,62,82,78,78,70,,,,,,,83,89
232432,L. Jović,Luka Jović,21,182,85,Serbia,Real Madrid,Right,ST,77,82,68,81,29,74,,,,,,,83,89
205175,A. Milik,Arkadiusz Milik,25,186,78,Poland,Napoli,Left,ST,69,85,64,76,39,74,,,,,,,83,88
211300,A. Martial,Anthony Martial,23,184,76,France,Manchester United,Right,"LW, ST, LM",89,81,72,86,41,71,,,,,,,83,88
212523,Anderson Talisca,Anderson Souza Conceição,25,190,80,Brazil,Guangzhou Evergrande Taobao FC,Left,"CAM, RW",77,82,80,81,57,72,,,,,,,83,88
213331,J. Tah,Jonathan Tah,23,195,97,Germany,Bayer 04 Leverkusen,Right,CB,71,27,59,57,83,81,,,,,,,83,88
219683,C. Tolisso,Corentin Tolisso,24,181,81,France,FC Bayern München,Right,"CM, CDM",69,77,79,78,76,79,,,,,,,83,88
221087,Pau López,Pau López Sabata,24,189,77,Spain,Roma,Left,GK,,,,,,,82,83,79,84,49,82,83,88
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,179,68,Portugal,Valencia CF,Right,"LM, ST",90,79,76,84,36,70,,,,,,,83,88
226110,N. Pépé,Nicolas Pépé,24,183,73,Ivory Coast,Arsenal,Left,"RM, RW, ST",91,81,75,85,33,67,,,,,,,83,88
229237,M. Akanji,Manuel Obafemi Akanji,23,187,91,Switzerland,Borussia Dortmund,Right,CB,78,45,68,72,83,80,,,,,,,83,88
231677,M. Rashford,Marcus Rashford,21,186,70,England,Manchester United,Right,"ST, LM",92,82,73,84,45,77,,,,,,,83,88
203574,J. Stones,John Stones,25,188,70,England,Manchester City,Right,CB,68,36,70,72,84,77,,,,,,,83,87
210008,A. Rabiot,Adrien Rabiot,24,192,80,France,Juventus,Left,"CM, CDM",73,74,79,80,77,80,,,,,,,83,87
210035,Grimaldo,Alejandro Grimaldo García,23,171,69,Spain,SL Benfica,Left,LB,85,63,79,84,77,71,,,,,,,83,87
212188,T. Werner,Timo Werner,23,180,75,Germany,RB Leipzig,Right,ST,92,81,67,83,35,69,,,,,,,83,87
213565,T. Lemar,Thomas Lemar,23,171,62,France,Atlético Madrid,Left,"LM, CAM, RM",83,76,82,85,59,67,,,,,,,83,87
220793,D. Sánchez,Davinson Sánchez,23,187,79,Colombia,Tottenham Hotspur,Right,CB,74,45,57,66,83,81,,,,,,,83,87
220834,Marco Asensio,Marco Asensio Willemsen,23,182,76,Spain,Real Madrid,Left,"LW, RW",81,80,82,84,43,62,,,,,,,83,87
200458,L. Digne,Lucas Digne,25,178,74,France,Everton,Left,LB,78,69,79,79,80,76,,,,,,,83,86
202166,J. Draxler,Julian Draxler,25,187,77,Germany,Paris Saint-Germain,Right,"CAM, CM, LW",77,79,81,86,55,63,,,,,,,83,86
204935,J. Pickford,Jordan Pickford,25,185,77,England,Everton,Left,GK,,,,,,,82,78,87,86,48,82,83,86
208418,Y. Carrasco,Yannick Ferreira Carrasco,25,180,71,Belgium,Dalian YiFang FC,Right,LM,90,80,75,87,39,64,,,,,,,83,86
224179,Borja Iglesias,Borja Iglesias Quintas,26,187,86,Spain,Real Betis,Right,ST,67,83,63,76,35,82,,,,,,,83,86
192984,K. Casteels,Koen Casteels,27,197,86,Belgium,VfL Wolfsburg,Left,GK,,,,,,,83,79,79,83,45,82,83,85
198717,W. Zaha,Wilfried Zaha,26,180,66,Ivory Coast,Crystal Palace,Right,"CF, LM, LW",91,76,72,88,27,74,,,,,,,83,85
200454,Paco Alcácer,Francisco Alcácer García,25,175,72,Spain,Borussia Dortmund,Right,ST,79,84,68,80,36,63,,,,,,,83,85
201153,Morata,Álvaro Borja Morata Martín,26,189,84,Spain,Atlético Madrid,Right,ST,81,79,71,80,31,72,,,,,,,83,85
205693,S. Haller,Sébastien Haller,25,190,82,France,West Ham United,Right,ST,72,81,62,76,51,82,,,,,,,83,85
207566,William Carvalho,William Silva de Carvalho,27,187,83,Portugal,Real Betis,Right,"CDM, CM",42,57,77,74,79,85,,,,,,,83,85
212404,F. Bernardeschi,Federico Bernardeschi,25,185,77,Italy,Juventus,Left,"RM, CAM",81,75,81,87,60,66,,,,,,,83,85
217940,D. Djené,Djené Dakonam Ortega,27,178,72,Togo,Getafe CF,Right,CB,72,37,61,61,83,79,,,,,,,83,85
188152,Oscar,Oscar dos Santos Emboaba Júnior,27,181,71,Brazil,Shanghai SIPG FC,Right,"CAM, CM",74,76,83,81,55,50,,,,,,,83,84
188943,K. Trapp,Kevin Trapp,28,189,86,Germany,Eintracht Frankfurt,Right,GK,,,,,,,82,77,79,85,49,83,83,84
198141,Bartra,Marc Bartra Aregall,28,184,73,Spain,Real Betis,Right,CB,73,61,73,72,82,74,,,,,,,83,84
